artid,step,variant,cterm,na_num,ones_num_org,ones_num,mean_org,mean,sd
aejapp_9_4_5,4,sb,settlement,0,19,19,0.215909090909091,0.215909090909091,0.41380943018992
aejapp_9_4_5,5,sb,settlement,0,19,19,0.215909090909091,0.215909090909091,0.41380943018992
aejapp_9_4_5,6,sb,settlement,0,19,19,0.215909090909091,0.215909090909091,0.41380943018992
aejapp_9_4_5,7,sb,settlement,0,19,19,0.215909090909091,0.215909090909091,0.41380943018992
aejapp_9_4_5,8,sb,settlement,0,19,19,0.215909090909091,0.215909090909091,0.41380943018992
aejapp_9_4_5,9,sb,settlement,0,19,19,0.215909090909091,0.215909090909091,0.41380943018992
aejapp_9_4_5,10,sb,settlement,0,19,19,0.215909090909091,0.215909090909091,0.41380943018992
aejapp_9_4_5,11,sb,settlement,0,19,19,0.215909090909091,0.215909090909091,0.41380943018992
aejapp_9_4_5,12,sb,settlement,0,19,19,0.215909090909091,0.215909090909091,0.41380943018992
aejapp_9_4_5,13,sb,settlement,0,19,19,0.215909090909091,0.215909090909091,0.41380943018992
