artid,step,variant,cterm,na_num,mean_org,sd_org,min,max,mean,sd,median,q10,q25,q75,q90
aejapp_9_4_5,4,sb,ln_distk,0,4.88375436988744,0.609033268322318,3.20498061180115,6.14256858825684,4.88375436988744,0.609033268322318,4.91197466850281,4.01286156177521,4.55483639240265,5.35153841972351,5.56744885444641
aejapp_9_4_5,5,sb,geo_lat_72,0,-22.9128586812453,0.867727955338608,-25.0149993896484,-20.3614368438721,-22.9128586812453,0.867727955338608,-23.0314998626709,-23.8628011703491,-23.4509382247925,-22.5117506980896,-21.7284982681274
aejapp_9_4_5,6,sb,geo_long_72,0,-46.9040099924261,1.26540431773066,-50.3112602233887,-44.3855018615723,-46.9040099924261,1.26540431773066,-46.9928646087647,-48.3747623443604,-47.6801242828369,-45.8766260147095,-45.2069259643555
aejapp_9_4_5,7,sb,geo_altitude,0,5.91042725009505,2.37890573146514,0.00999999977648258,11.9800004959106,5.91042725009505,2.37890573146514,6.29562497138977,0.667249986529351,5.52437496185303,7.2754168510437,8.0539999961853
aejapp_9_4_5,8,sb,geo_solo_slat,0,0.456848850473762,0.427797733978786,0,1,0.456848850473762,0.427797733978786,0.450000002980232,0,0,1,1
aejapp_9_4_5,9,sb,sh_lit72,0,0.169906720180403,0.0909159190955247,0.0482022278010845,0.451772302389145,0.169906720180403,0.0909159190955247,0.148077644407749,0.0714204922318459,0.100962994620204,0.226513668894768,0.318533566594124
aejapp_9_4_5,10,sb,sh_child_school72,0,0.162010459652679,0.136527035591213,0.0265957452356815,0.763605415821075,0.162010459652679,0.136527035591213,0.127026878297329,0.0507549926638603,0.0810079369693995,0.201589107513428,0.251587526500225
aejapp_9_4_5,11,sb,sh_foreign72,0,0.0154063492075445,0.0168991972328328,0,0.0811454206705093,0.0154063492075445,0.0168991972328328,0.00885519525036216,0.00295234941877425,0.00417443690821528,0.0197673267684877,0.0436001565307379
aejapp_9_4_5,12,sb,sh_slaves72,0,0.178829045669938,0.100648046840567,0.0392395816743374,0.530629217624664,0.178829045669938,0.100648046840567,0.156501494348049,0.0845756746828556,0.100130407139659,0.232626054435968,0.321893692016602
aejapp_9_4_5,13,sb,popdensity72,0,9.52754770490256,6.9718007543195,0.088990792632103,36.5389595031738,9.52754770490256,6.9718007543195,7.90206861495972,2.04394776821137,4.25727951526642,12.581330537796,18.6763319015503
