tabid,num,regid,cmd,mapid,cellid,block,runid,variant,deci_dist,num_type,match_type
2,0.1,0,estpost,1,1,1,6,"",0.0944500000000001,0,5
2,0.3,0,estpost,1,2,2,6,"",0.00778000000000167,0,5
2,0,0,estpost,1,3,3,6,"",0,0,5
2,1,0,estpost,1,4,4,6,"",0,0,5
2,5.14,0,estpost,1,5,1,6,"",0.126500000000007,0,5
2,0.69,0,estpost,1,6,2,6,"",0.275150000000002,0,5
2,2.08,0,estpost,1,7,3,6,"",0.185600000000008,0,5
2,6.24,0,estpost,1,8,4,6,"",0.30329999999994,0,5
2,-22.59,0,estpost,1,9,1,6,"",0.449000000000055,0,5
2,0.99,0,estpost,1,10,2,6,"",0.0637200000000004,0,5
