artid,step,variant,cterm,shown_term,label,coef,se,t,p,ci_low,ci_up
aejapp_9_4_5,4,so,settlement,settlement,Indicator=1 if municipality received a settlement after 1872,0.0525517538246718,0.178859591275723,0.293815687768514,0.769606673267883,-0.303009345786269,0.408112853435612
aejapp_9_4_5,4,so,(Intercept),_cons,Constant,4.87240796849348,0.0697884463786791,69.8168281617175,1.63453426727299e-77,4.73367312873702,5.01114280824993
aejapp_9_4_5,5,so,settlement,settlement,Indicator=1 if municipality received a settlement after 1872,0.125591718905032,0.202556741264165,0.620032283898373,0.536876001331465,-0.277077755758309,0.528261193568372
aejapp_9_4_5,5,so,(Intercept),_cons,Constant,-22.9399750750998,0.108688689116242,-211.061291304797,1.52094888061247e-118,-23.1560410380252,-22.7239091121743
aejapp_9_4_5,6,so,settlement,settlement,Indicator=1 if municipality received a settlement after 1872,-0.298953983821912,0.366538788728085,-0.815613498531229,0.416974439265576,-1.02760897984789,0.429701012204065
aejapp_9_4_5,6,so,(Intercept),_cons,Constant,-46.8394631095555,0.145137313729244,-322.725162165639,2.19786025684153e-134,-47.1279865401195,-46.5509396789915
aejapp_9_4_5,7,so,settlement,settlement,Indicator=1 if municipality received a settlement after 1872,-0.216969413513745,0.464749411649341,-0.466852475926212,0.641786012205973,-1.14086066626093,0.70692183923344
aejapp_9_4_5,7,so,(Intercept),_cons,Constant,5.95727291892188,0.310830628756766,19.1656560447382,8.62752170847004e-33,5.33936207966953,6.57518375817424
aejapp_9_4_5,8,so,settlement,settlement,Indicator=1 if municipality received a settlement after 1872,0.0913785817534935,0.10118299298333,0.903102182088524,0.368994315351999,-0.109766551087712,0.292523714594699
aejapp_9_4_5,8,so,(Intercept),_cons,Constant,0.437119383958803,0.0532340870985041,8.2112685270616,1.97600336923188e-12,0.331293521277779,0.542945246639826
